id,wholesaler_id,retailer_id,buyer_type,shipping_type,order_type,book_time,last_status,last_status_time,anomaly_label,trx_time,trx_date,line_count,line_hms,qty,qty_hms,value,value_hms,ts
3800090,63672,21656,retailer,pick-up,app,6/22/2020 12:10,selesai,6/27/2020 10:49,0,2020-06-22 12:10:00,20200622,17,3,41.0,3.0,1509150,594000,1592827800.0
3800092,134363,264032,retailer,pick-up,app,6/22/2020 12:10,selesai,6/29/2020 12:56,0,2020-06-22 12:10:00,20200622,8,6,142.0,102.0,2794000,2112000,1592827800.0
3800126,57364,43463,retailer,same-day,app,6/22/2020 12:11,selesai,6/23/2020 8:18,0,2020-06-22 12:11:00,20200622,5,2,65.0,15.0,801500,299500,1592827860.0
3800149,145134,108310,retailer,pick-up,app,6/22/2020 12:12,selesai,7/1/2020 17:44,0,2020-06-22 12:12:00,20200622,7,2,93.0,7.0,586800,166700,1592827920.0
3800156,54022,242881,retailer,pick-up,otc,6/22/2020 12:12,selesai,6/22/2020 12:12,0,2020-06-22 12:12:00,20200622,5,3,5.0,3.0,160850,54350,1592827920.0
3800158,136340,102615,retailer,pick-up,app,6/22/2020 12:12,selesai,6/28/2020 11:01,0,2020-06-22 12:12:00,20200622,4,0,27.0,0.0,593000,0,1592827920.0
3571055,140598,126295,retailer,pick-up,app,6/8/2020 10:09,selesai,6/8/2020 10:14,0,2020-06-08 10:09:00,20200608,10,10,18.0,18.0,861300,861300,1591610940.0
3480973,57640,161810,retailer,next-day,app,6/1/2020 15:01,selesai,6/2/2020 15:21,0,2020-06-01 15:01:00,20200601,19,0,307.0,0.0,3065500,0,1591023660.0
3481043,137586,95404,retailer,pick-up,app,6/1/2020 15:07,selesai,6/9/2020 10:00,0,2020-06-01 15:07:00,20200601,21,8,92.0,31.0,1812600,592500,1591024020.0
3481050,175613,26578,retailer,pick-up,otc,6/1/2020 15:08,selesai,6/1/2020 15:08,0,2020-06-01 15:08:00,20200601,1,0,24.0,0.0,86500,0,1591024080.0
3481052,139666,80026,retailer,same-day,app,6/1/2020 15:08,pesanan-diterima,8/6/2020 16:43,0,2020-06-01 15:08:00,20200601,63,8,859.0,42.0,2804150,862700,1591024080.0
3481118,138013,161496,retailer,same-day,app,6/1/2020 15:13,selesai,6/2/2020 20:05,0,2020-06-01 15:13:00,20200601,29,10,336.0,37.0,1759100,691800,1591024380.0
3481184,58464,22214,retailer,pick-up,app,6/1/2020 15:18,selesai,6/4/2020 6:51,0,2020-06-01 15:18:00,20200601,3,1,12.0,10.0,423300,162800,1591024680.0
3481575,143959,82745,retailer,pick-up,app,6/1/2020 15:50,selesai,6/10/2020 10:22,0,2020-06-01 15:50:00,20200601,32,0,1792.0,0.0,5954000,0,1591026600.0
3482043,140738,114211,retailer,same-day,app,6/1/2020 16:34,selesai,6/6/2020 12:34,0,2020-06-01 16:34:00,20200601,9,4,207.0,125.0,3219000,2782500,1591029240.0
3482213,54307,3434,retailer,next-day,app,6/1/2020 16:50,selesai,6/7/2020 12:25,0,2020-06-01 16:50:00,20200601,20,4,77.0,14.0,2000200,273100,1591030200.0
3482222,53834,1102907,retailer,pick-up,otc,6/1/2020 16:52,selesai,6/1/2020 16:52,0,2020-06-01 16:52:00,20200601,1,1,2.0,2.0,440000,440000,1591030320.0
3572402,140386,116648,retailer,same-day,app,6/8/2020 11:05,selesai,6/10/2020 12:42,0,2020-06-08 11:05:00,20200608,23,3,531.0,7.0,4214500,1330000,1591614300.0
3572432,53852,10674,retailer,pick-up,app,6/8/2020 11:06,selesai,7/30/2020 23:55,0,2020-06-08 11:06:00,20200608,14,1,202.0,10.0,2293000,221000,1591614360.0
3800560,91873,37012,retailer,pick-up,otc,6/22/2020 12:29,selesai,6/22/2020 12:29,0,2020-06-22 12:29:00,20200622,3,0,154.0,0.0,257000,0,1592828940.0
3800624,100514,97392,retailer,pick-up,otc,6/22/2020 12:32,selesai,6/22/2020 12:32,0,2020-06-22 12:32:00,20200622,19,0,43.0,0.0,352600,0,1592829120.0
3800628,1145,1097,retailer,same-day,app,6/22/2020 12:32,selesai,7/30/2020 11:56,0,2020-06-22 12:32:00,20200622,18,11,220.0,160.0,4083000,3234000,1592829120.0
3492907,194753,202161,retailer,pick-up,otc,6/2/2020 14:14,selesai,6/2/2020 14:14,0,2020-06-02 14:14:00,20200602,3,0,15.0,0.0,249000,0,1591107240.0
3800719,56677,178524,retailer,pick-up,app,6/22/2020 12:37,selesai,6/29/2020 7:04,0,2020-06-22 12:37:00,20200622,25,4,265.0,60.0,5043700,955000,1592829420.0
3493452,172815,208250,retailer,pick-up,app,6/2/2020 14:47,pesanan-diterima,6/2/2020 18:54,0,2020-06-02 14:47:00,20200602,5,0,15.0,0.0,324700,0,1591109220.0
3493477,140151,1092062,retailer,pick-up,otc,6/2/2020 14:48,selesai,6/2/2020 14:48,0,2020-06-02 14:48:00,20200602,12,0,61.0,0.0,298890,0,1591109280.0
3493516,183958,4518,retailer,same-day,app,6/2/2020 14:51,selesai,6/3/2020 18:02,0,2020-06-02 14:51:00,20200602,1,1,5.0,5.0,79750,79750,1591109460.0
3573004,131638,203846,retailer,same-day,app,6/8/2020 11:30,selesai,6/10/2020 0:14,0,2020-06-08 11:30:00,20200608,10,4,121.0,41.0,2561000,1197500,1591615800.0
3573029,57637,9317,retailer,pick-up,otc,6/8/2020 11:31,selesai,6/8/2020 11:31,0,2020-06-08 11:31:00,20200608,3,3,30.0,30.0,599500,599500,1591615860.0
5266835,101429,74394,retailer,same-day,app,8/29/2020 13:36,selesai,8/31/2020 21:50,0,2020-08-29 13:36:00,20200829,17,1,158.0,10.0,2341500,114000,1598708160.0
5243682,61602,209757,retailer,same-day,app,8/28/2020 13:04,selesai,8/29/2020 7:17,0,2020-08-28 13:04:00,20200828,16,10,751.0,255.0,14822934,9001500,1598619840.0
5265240,56578,1284261,retailer,pick-up,app,8/29/2020 12:34,selesai,9/4/2020 16:42,0,2020-08-29 12:34:00,20200829,12,1,258.0,10.0,1547000,159500,1598704440.0
5265299,183958,190933,retailer,pick-up,app,8/29/2020 12:37,selesai,9/3/2020 0:13,0,2020-08-29 12:37:00,20200829,4,2,40.0,20.0,421000,379500,1598704620.0
5181972,54011,34598,retailer,same-day,app,8/25/2020 18:45,selesai,8/27/2020 15:07,0,2020-08-25 18:45:00,20200825,7,0,18.0,0.0,720700,0,1598381100.0
5182026,137063,1110163,retailer,pick-up,app,8/25/2020 18:48,selesai,9/1/2020 11:17,0,2020-08-25 18:48:00,20200825,6,4,7.0,5.0,123300,82900,1598381280.0
5265536,54616,56357,retailer,pick-up,app,8/29/2020 12:47,selesai,8/30/2020 13:10,0,2020-08-29 12:47:00,20200829,29,0,1084.0,0.0,4657500,0,1598705220.0
5265672,137937,140807,retailer,pick-up,app,8/29/2020 12:52,selesai,8/30/2020 14:57,0,2020-08-29 12:52:00,20200829,8,8,8.0,8.0,223400,223400,1598705520.0
5265686,175615,32442,retailer,pick-up,app,8/29/2020 12:53,selesai,8/31/2020 18:03,0,2020-08-29 12:53:00,20200829,5,0,10.0,0.0,355250,0,1598705580.0
5283284,233327,1108921,retailer,pick-up,app,8/30/2020 14:58,selesai,8/31/2020 13:50,0,2020-08-30 14:58:00,20200830,9,4,91.0,31.0,1628000,658000,1598799480.0
5283301,264064,98587,retailer,pick-up,app,8/30/2020 15:00,siap-diambil,8/31/2020 17:44,0,2020-08-30 15:00:00,20200830,4,4,68.0,68.0,338600,338600,1598799600.0
5331248,1147,601,retailer,pick-up,app,9/1/2020 15:48,siap-diambil,9/1/2020 18:32,0,2020-09-01 15:48:00,20200901,16,6,148.0,48.0,2521000,926000,1598975280.0
5331301,178839,32880,retailer,pick-up,app,9/1/2020 15:50,selesai,9/2/2020 9:18,0,2020-09-01 15:50:00,20200901,2,1,20.0,10.0,439000,220000,1598975400.0
5331315,141611,115186,retailer,pick-up,app,9/1/2020 15:50,selesai,9/2/2020 11:57,0,2020-09-01 15:50:00,20200901,17,17,2018.0,2018.0,41522500,41522500,1598975400.0
5331334,55696,50002,retailer,next-day,app,9/1/2020 15:51,selesai,9/3/2020 20:26,0,2020-09-01 15:51:00,20200901,3,3,30.0,30.0,443000,443000,1598975460.0
5331465,56644,22595,retailer,pick-up,app,9/1/2020 15:56,selesai,9/1/2020 16:20,0,2020-09-01 15:56:00,20200901,1,0,10.0,0.0,240500,0,1598975760.0
5331469,222294,149476,retailer,next-day,app,9/1/2020 15:56,selesai,9/5/2020 6:56,0,2020-09-01 15:56:00,20200901,3,3,30.0,30.0,494500,494500,1598975760.0
5331483,137934,1156265,retailer,pick-up,app,9/1/2020 15:57,selesai,9/3/2020 13:53,0,2020-09-01 15:57:00,20200901,1,1,20.0,20.0,320000,320000,1598975820.0
5331502,136324,3814,retailer,pick-up,app,9/1/2020 15:58,selesai,9/3/2020 8:39,0,2020-09-01 15:58:00,20200901,7,1,20.0,3.0,301100,31800,1598975880.0
5331519,138797,1152603,retailer,pick-up,app,9/1/2020 15:58,siap-diambil,9/1/2020 16:53,0,2020-09-01 15:58:00,20200901,4,2,20.0,10.0,369500,176500,1598975880.0
5331552,54737,1126033,retailer,pick-up,app,9/1/2020 16:00,siap-diambil,9/1/2020 19:12,0,2020-09-01 16:00:00,20200901,6,2,17.0,4.0,309950,99600,1598976000.0
5331569,170435,163695,retailer,same-day,app,9/1/2020 16:00,selesai,9/1/2020 18:05,0,2020-09-01 16:00:00,20200901,14,11,90.0,20.0,1622800,356800,1598976000.0
5287595,197027,115062,retailer,pick-up,app,8/30/2020 21:35,selesai,9/7/2020 8:03,0,2020-08-30 21:35:00,20200830,2,2,5.0,5.0,98000,98000,1598823300.0
5287682,135818,254409,retailer,pick-up,app,8/30/2020 21:44,selesai,9/3/2020 16:10,0,2020-08-30 21:44:00,20200830,19,7,146.0,19.0,879050,347000,1598823840.0
5287746,55696,36976,retailer,same-day,app,8/30/2020 21:51,selesai,9/2/2020 9:36,0,2020-08-30 21:51:00,20200830,11,3,74.0,30.0,1239500,502000,1598824260.0
5287849,170824,195742,retailer,pick-up,app,8/30/2020 22:02,siap-diambil,9/3/2020 12:32,0,2020-08-30 22:02:00,20200830,12,2,247.0,4.0,1490100,99400,1598824920.0
5287949,155520,69882,retailer,pick-up,app,8/30/2020 22:15,selesai,8/30/2020 23:04,0,2020-08-30 22:15:00,20200830,7,7,50.0,50.0,973300,973300,1598825700.0
5417919,138995,182580,retailer,pick-up,app,9/5/2020 11:03,selesai,9/7/2020 8:48,0,2020-09-05 11:03:00,20200905,8,4,40.0,20.0,698000,366000,1599303780.0
5418005,137950,242157,retailer,same-day,app,9/5/2020 11:06,selesai,9/8/2020 12:21,0,2020-09-05 11:06:00,20200905,16,0,207.0,0.0,1839000,0,1599303960.0
5428751,57918,192375,retailer,pick-up,app,9/5/2020 21:37,selesai,9/9/2020 21:10,0,2020-09-05 21:37:00,20200905,28,0,661.0,0.0,1515667,0,1599341820.0
5428802,208993,82183,retailer,pick-up,app,9/5/2020 21:43,selesai,9/6/2020 11:29,0,2020-09-05 21:43:00,20200905,1,1,1.0,1.0,45000,45000,1599342180.0
5417619,174454,1105766,retailer,pick-up,app,9/5/2020 10:53,selesai,9/5/2020 21:20,0,2020-09-05 10:53:00,20200905,13,2,83.0,10.0,1426150,195750,1599303180.0
5417655,1150672,1223774,retailer,pick-up,app,9/5/2020 10:54,selesai,9/5/2020 13:42,0,2020-09-05 10:54:00,20200905,2,0,21.0,0.0,496000,0,1599303240.0
5417702,130615,73809,retailer,same-day,app,9/5/2020 10:56,selesai,9/7/2020 16:12,0,2020-09-05 10:56:00,20200905,1,0,20.0,0.0,466000,0,1599303360.0
5437790,54022,53506,retailer,next-day,app,9/6/2020 15:30,pesanan-diterima,9/12/2020 10:29,0,2020-09-06 15:30:00,20200906,5,2,34.0,30.0,1153800,479300,1599406200.0
5438043,155809,75191,retailer,pick-up,app,9/6/2020 15:53,siap-diambil,9/8/2020 14:18,0,2020-09-06 15:53:00,20200906,17,6,240.0,70.0,3954400,1219600,1599407580.0
5438411,141908,105315,retailer,pick-up,app,9/6/2020 16:24,siap-diambil,9/11/2020 16:22,0,2020-09-06 16:24:00,20200906,1,1,2.0,2.0,130000,130000,1599409440.0
5438461,140253,113116,retailer,pick-up,app,9/6/2020 16:28,selesai,9/8/2020 17:57,0,2020-09-06 16:28:00,20200906,21,9,153.0,36.0,1612200,1022900,1599409680.0
5282716,238353,1241100,retailer,pick-up,app,8/30/2020 14:14,selesai,9/14/2020 12:12,0,2020-08-30 14:14:00,20200830,31,2,327.0,10.0,3010950,136750,1598796840.0
5182476,249306,122067,retailer,pick-up,app,8/25/2020 19:27,selesai,8/25/2020 21:03,0,2020-08-25 19:27:00,20200825,7,3,35.0,15.0,481600,278400,1598383620.0
5185983,1234305,176121,retailer,pick-up,app,8/26/2020 6:42,selesai,8/30/2020 22:57,0,2020-08-26 06:42:00,20200826,3,2,114.0,110.0,3041200,3023200,1598424120.0
5182543,138067,119810,retailer,pick-up,app,8/25/2020 19:33,selesai,9/2/2020 19:40,0,2020-08-25 19:33:00,20200825,8,0,75.0,0.0,1070075,0,1598383980.0
5182575,238099,249836,retailer,pick-up,app,8/25/2020 19:35,selesai,8/26/2020 19:04,0,2020-08-25 19:35:00,20200825,4,0,50.0,0.0,645000,0,1598384100.0
5182593,165218,88276,retailer,next-day,app,8/25/2020 19:37,selesai,8/27/2020 20:02,0,2020-08-25 19:37:00,20200825,13,1,77.0,5.0,764790,79250,1598384220.0
5190295,131672,242643,retailer,pick-up,app,8/26/2020 9:13,konfirmasi-perubahan,8/26/2020 11:46,0,2020-08-26 09:13:00,20200826,12,0,684.0,0.0,3157540,0,1598433180.0
5190331,226796,22902,retailer,same-day,app,8/26/2020 9:14,selesai,8/27/2020 12:28,0,2020-08-26 09:14:00,20200826,3,3,51.0,51.0,309100,309100,1598433240.0
3774251,138797,118797,retailer,pick-up,app,6/20/2020 15:51,selesai,6/21/2020 8:56,0,2020-06-20 15:51:00,20200620,5,4,96.0,84.0,1509500,1456500,1592668260.0
3774266,56644,22595,retailer,same-day,app,6/20/2020 15:52,selesai,6/22/2020 16:13,0,2020-06-20 15:52:00,20200620,4,0,33.0,0.0,67850,0,1592668320.0
3774284,53923,166235,retailer,same-day,app,6/20/2020 15:53,selesai,6/21/2020 10:20,0,2020-06-20 15:53:00,20200620,9,1,23.0,3.0,273400,66300,1592668380.0
3774351,53834,1101133,retailer,pick-up,otc,6/20/2020 15:56,selesai,6/20/2020 15:56,0,2020-06-20 15:56:00,20200620,6,6,6.0,6.0,111200,111200,1592668560.0
3774365,173684,200328,retailer,pick-up,otc,6/20/2020 15:57,selesai,6/20/2020 15:57,0,2020-06-20 15:57:00,20200620,7,3,23.0,7.0,644000,387200,1592668620.0
3768836,134958,229324,retailer,same-day,app,6/20/2020 11:30,selesai,6/22/2020 13:02,0,2020-06-20 11:30:00,20200620,1,0,5.0,0.0,1040000,0,1592652600.0
3668109,1145,557,retailer,same-day,app,6/14/2020 17:44,selesai,6/16/2020 9:09,0,2020-06-14 17:44:00,20200614,7,7,31.0,31.0,471350,471350,1592156640.0
3799720,54022,241338,retailer,pick-up,otc,6/22/2020 11:56,selesai,6/22/2020 11:56,0,2020-06-22 11:56:00,20200622,4,1,7.0,1.0,164275,11475,1592826960.0
3799734,54465,4755,retailer,next-day,app,6/22/2020 11:57,selesai,6/23/2020 17:45,0,2020-06-22 11:57:00,20200622,5,2,142.0,20.0,1071500,379500,1592827020.0
3799738,131672,122814,retailer,pick-up,app,6/22/2020 11:57,selesai,6/22/2020 14:18,0,2020-06-22 11:57:00,20200622,9,2,146.0,20.0,1751016,488500,1592827020.0
3799787,130615,84808,retailer,pick-up,otc,6/22/2020 11:59,selesai,6/22/2020 11:59,0,2020-06-22 11:59:00,20200622,3,0,85.0,0.0,296500,0,1592827140.0
3799788,132745,101951,retailer,pick-up,app,6/22/2020 11:59,selesai,6/25/2020 9:27,0,2020-06-22 11:59:00,20200622,13,5,37.0,19.0,2858500,1097000,1592827140.0
3796679,137164,234228,retailer,same-day,app,6/22/2020 10:18,selesai,6/24/2020 9:03,0,2020-06-22 10:18:00,20200622,26,8,462.0,100.0,5127000,1906000,1592821080.0
5265153,134374,77400,retailer,pick-up,app,8/29/2020 12:29,selesai,8/31/2020 12:28,0,2020-08-29 12:29:00,20200829,6,1,40.0,5.0,722500,96500,1598704140.0
5336595,54449,228112,retailer,pick-up,app,9/1/2020 21:56,selesai,9/4/2020 20:24,0,2020-09-01 21:56:00,20200901,4,3,21.0,18.0,366250,336550,1598997360.0
5336627,55952,232670,retailer,next-day,app,9/1/2020 21:59,selesai,9/3/2020 8:40,0,2020-09-01 21:59:00,20200901,38,3,454.0,30.0,2293682,573250,1598997540.0
5336634,166626,1171487,retailer,pick-up,otc,9/1/2020 21:59,selesai,9/1/2020 21:59,0,2020-09-01 21:59:00,20200901,4,4,10.0,10.0,177800,177800,1598997540.0
5336670,138680,1180112,retailer,pick-up,otc,9/1/2020 22:02,selesai,9/1/2020 22:02,0,2020-09-01 22:02:00,20200901,4,0,22.0,0.0,504500,0,1598997720.0
5336729,166626,1171492,retailer,pick-up,otc,9/1/2020 22:09,selesai,9/1/2020 22:09,0,2020-09-01 22:09:00,20200901,5,0,24.0,0.0,502300,0,1598998140.0
5404958,249306,117726,retailer,pick-up,app,9/4/2020 17:09,siap-diambil,9/4/2020 17:53,0,2020-09-04 17:09:00,20200904,1,1,1.0,1.0,221000,221000,1599239340.0
5405056,54584,185595,retailer,pick-up,otc,9/4/2020 17:15,selesai,9/4/2020 17:15,0,2020-09-04 17:15:00,20200904,4,1,31.0,6.0,408600,132600,1599239700.0
5405058,159897,1155965,retailer,pick-up,app,9/4/2020 17:15,selesai,9/13/2020 22:08,0,2020-09-04 17:15:00,20200904,7,3,19.0,9.0,238300,151800,1599239700.0
5405113,216416,175516,retailer,pick-up,app,9/4/2020 17:18,selesai,9/10/2020 10:30,0,2020-09-04 17:18:00,20200904,1,1,10.0,10.0,221000,221000,1599239880.0
5404722,257315,70138,retailer,pick-up,app,9/4/2020 16:58,selesai,9/13/2020 11:48,0,2020-09-04 16:58:00,20200904,1,1,2.0,2.0,43000,43000,1599238680.0
5185654,56122,27429,retailer,pick-up,app,8/26/2020 6:19,selesai,8/29/2020 15:13,0,2020-08-26 06:19:00,20200826,12,0,86.0,0.0,1054000,0,1598422740.0
5185879,154613,1121313,retailer,pick-up,app,8/26/2020 6:35,selesai,8/26/2020 14:42,0,2020-08-26 06:35:00,20200826,16,9,104.0,61.0,1927700,1179300,1598423700.0
5283315,140100,1241241,retailer,pick-up,otc,8/30/2020 15:01,selesai,8/30/2020 15:01,0,2020-08-30 15:01:00,20200830,2,2,20.0,20.0,435500,435500,1598799660.0
5283349,202670,1111576,retailer,pick-up,app,8/30/2020 15:03,selesai,8/30/2020 15:19,0,2020-08-30 15:03:00,20200830,2,0,11.0,0.0,232500,0,1598799780.0
5283356,138106,148031,retailer,same-day,app,8/30/2020 15:04,selesai,9/1/2020 8:10,0,2020-08-30 15:04:00,20200830,1,0,1.0,0.0,87000,0,1598799840.0
5283381,140258,265058,retailer,pick-up,app,8/30/2020 15:05,siap-diambil,9/13/2020 18:58,0,2020-08-30 15:05:00,20200830,2,2,30.0,30.0,726750,726750,1598799900.0
5283388,145605,83159,retailer,next-day,app,8/30/2020 15:06,selesai,9/2/2020 10:18,0,2020-08-30 15:06:00,20200830,2,1,6.0,5.0,330650,110250,1598799960.0
5283783,140598,126295,retailer,same-day,app,8/30/2020 15:36,selesai,8/31/2020 8:23,0,2020-08-30 15:36:00,20200830,4,4,4.0,4.0,610600,610600,1598801760.0
5059501,144969,1227783,retailer,pick-up,otc,8/20/2020 9:53,selesai,8/20/2020 9:53,0,2020-08-20 09:53:00,20200820,6,6,60.0,60.0,1298500,1298500,1597917180.0
3768672,65757,34832,retailer,pick-up,app,6/20/2020 11:23,selesai,6/22/2020 18:25,0,2020-06-20 11:23:00,20200620,9,2,71.0,8.0,946900,107550,1592652180.0
3768740,54695,57243,retailer,pick-up,app,6/20/2020 11:26,selesai,6/22/2020 15:58,0,2020-06-20 11:26:00,20200620,7,0,39.0,0.0,246500,0,1592652360.0
3700341,54022,237815,retailer,pick-up,otc,6/16/2020 14:00,selesai,6/16/2020 14:00,0,2020-06-16 14:00:00,20200616,9,6,18.0,6.0,483840,111340,1592316000.0
3700352,54584,219884,retailer,pick-up,otc,6/16/2020 14:00,selesai,6/16/2020 14:00,0,2020-06-16 14:00:00,20200616,4,1,439.0,200.0,6579500,2300000,1592316000.0
3700377,172815,206518,retailer,pick-up,app,6/16/2020 14:01,pesanan-diterima,6/25/2020 15:39,0,2020-06-16 14:01:00,20200616,10,4,86.0,33.0,1946100,544100,1592316060.0
3700611,134386,121529,retailer,pick-up,app,6/16/2020 14:12,selesai,6/16/2020 19:42,0,2020-06-16 14:12:00,20200616,13,4,85.0,40.0,1480500,724000,1592316720.0
3700679,54022,245677,retailer,pick-up,otc,6/16/2020 14:15,selesai,6/16/2020 14:15,0,2020-06-16 14:15:00,20200616,9,6,28.0,6.0,387340,111340,1592316900.0
3700711,185687,49763,retailer,pick-up,app,6/16/2020 14:16,selesai,6/20/2020 8:10,0,2020-06-16 14:16:00,20200616,13,6,92.0,14.0,511400,237400,1592316960.0
3768897,135560,239895,retailer,pick-up,app,6/20/2020 11:33,selesai,6/27/2020 14:55,0,2020-06-20 11:33:00,20200620,16,4,336.0,40.0,2579900,896000,1592652780.0
3768931,157442,87751,retailer,pick-up,app,6/20/2020 11:34,selesai,6/23/2020 12:35,0,2020-06-20 11:34:00,20200620,9,7,72.0,61.0,1511500,1412000,1592652840.0
3768940,136340,115653,retailer,pick-up,app,6/20/2020 11:35,selesai,6/20/2020 18:47,0,2020-06-20 11:35:00,20200620,10,5,83.0,25.0,1007850,423850,1592652900.0
3768963,54022,240119,retailer,pick-up,otc,6/20/2020 11:36,selesai,6/20/2020 11:36,0,2020-06-20 11:36:00,20200620,4,2,4.0,2.0,120475,22075,1592652960.0
3768974,140356,110409,retailer,pick-up,app,6/20/2020 11:36,selesai,6/20/2020 15:19,0,2020-06-20 11:36:00,20200620,15,12,291.0,170.0,4008150,3720150,1592652960.0
3800928,137068,93413,retailer,same-day,app,6/22/2020 12:45,konfirmasi-perubahan,6/25/2020 15:27,0,2020-06-22 12:45:00,20200622,8,3,88.0,25.0,1154500,605500,1592829900.0
3801019,137121,242430,retailer,pick-up,app,6/22/2020 12:50,selesai,6/25/2020 14:04,0,2020-06-22 12:50:00,20200622,5,0,66.0,0.0,334000,0,1592830200.0
3801028,54245,29233,retailer,same-day,app,6/22/2020 12:50,perubahan-disetujui,7/17/2020 12:07,0,2020-06-22 12:50:00,20200622,12,5,462.0,200.0,13123000,4455000,1592830200.0
3689513,159970,173724,retailer,pick-up,app,6/16/2020 5:32,selesai,6/16/2020 16:19,0,2020-06-16 05:32:00,20200616,38,1,157.0,3.0,731350,34500,1592285520.0
3689522,137019,106750,retailer,pick-up,app,6/16/2020 5:34,selesai,6/16/2020 16:39,0,2020-06-16 05:34:00,20200616,4,2,14.0,2.0,411000,378000,1592285640.0
3689588,132935,123429,retailer,pick-up,app,6/16/2020 5:47,selesai,6/16/2020 12:46,0,2020-06-16 05:47:00,20200616,15,3,25.0,6.0,407800,117000,1592286420.0
