id,wholesaler_id,retailer_id,buyer_type,shipping_type,order_type,book_time,last_status,last_status_time,anomaly_label
5404722,257315,70138,retailer,pick-up,app,9/4/2020 16:58,selesai,9/13/2020 11:48,0
5185654,56122,27429,retailer,pick-up,app,8/26/2020 6:19,selesai,8/29/2020 15:13,0
5185879,154613,1121313,retailer,pick-up,app,8/26/2020 6:35,selesai,8/26/2020 14:42,0
5283315,140100,1241241,retailer,pick-up,otc,8/30/2020 15:01,selesai,8/30/2020 15:01,0
5283349,202670,1111576,retailer,pick-up,app,8/30/2020 15:03,selesai,8/30/2020 15:19,0
5283356,138106,148031,retailer,same-day,app,8/30/2020 15:04,selesai,9/1/2020 8:10,0
5283381,140258,265058,retailer,pick-up,app,8/30/2020 15:05,siap-diambil,9/13/2020 18:58,0
5283388,145605,83159,retailer,next-day,app,8/30/2020 15:06,selesai,9/2/2020 10:18,0
5283783,140598,126295,retailer,same-day,app,8/30/2020 15:36,selesai,8/31/2020 8:23,0
5059501,144969,1227783,retailer,pick-up,otc,8/20/2020 9:53,selesai,8/20/2020 9:53,0
3768672,65757,34832,retailer,pick-up,app,6/20/2020 11:23,selesai,6/22/2020 18:25,0
3768740,54695,57243,retailer,pick-up,app,6/20/2020 11:26,selesai,6/22/2020 15:58,0
3700341,54022,237815,retailer,pick-up,otc,6/16/2020 14:00,selesai,6/16/2020 14:00,0
3700352,54584,219884,retailer,pick-up,otc,6/16/2020 14:00,selesai,6/16/2020 14:00,0
3700377,172815,206518,retailer,pick-up,app,6/16/2020 14:01,pesanan-diterima,6/25/2020 15:39,0
3700611,134386,121529,retailer,pick-up,app,6/16/2020 14:12,selesai,6/16/2020 19:42,0
3700679,54022,245677,retailer,pick-up,otc,6/16/2020 14:15,selesai,6/16/2020 14:15,0
3700711,185687,49763,retailer,pick-up,app,6/16/2020 14:16,selesai,6/20/2020 8:10,0
3768897,135560,239895,retailer,pick-up,app,6/20/2020 11:33,selesai,6/27/2020 14:55,0
3768931,157442,87751,retailer,pick-up,app,6/20/2020 11:34,selesai,6/23/2020 12:35,0
3768940,136340,115653,retailer,pick-up,app,6/20/2020 11:35,selesai,6/20/2020 18:47,0
3768963,54022,240119,retailer,pick-up,otc,6/20/2020 11:36,selesai,6/20/2020 11:36,0
3768974,140356,110409,retailer,pick-up,app,6/20/2020 11:36,selesai,6/20/2020 15:19,0
3800928,137068,93413,retailer,same-day,app,6/22/2020 12:45,konfirmasi-perubahan,6/25/2020 15:27,0
3801019,137121,242430,retailer,pick-up,app,6/22/2020 12:50,selesai,6/25/2020 14:04,0
3801028,54245,29233,retailer,same-day,app,6/22/2020 12:50,perubahan-disetujui,7/17/2020 12:07,0
3689513,159970,173724,retailer,pick-up,app,6/16/2020 5:32,selesai,6/16/2020 16:19,0
3689522,137019,106750,retailer,pick-up,app,6/16/2020 5:34,selesai,6/16/2020 16:39,0
3689588,132935,123429,retailer,pick-up,app,6/16/2020 5:47,selesai,6/16/2020 12:46,0
3572759,100534,97724,retailer,next-day,app,6/8/2020 11:20,selesai,6/12/2020 22:22,0
3572795,176968,83257,retailer,pick-up,app,6/8/2020 11:22,selesai,6/14/2020 8:25,0
3572827,139451,89635,retailer,pick-up,app,6/8/2020 11:23,selesai,6/19/2020 8:38,0
3572936,135788,205875,retailer,pick-up,otc,6/8/2020 11:27,selesai,6/8/2020 11:27,0
3797316,175330,332754,retailer,pick-up,otc,6/22/2020 10:36,selesai,6/22/2020 10:36,0
3797343,55190,30953,retailer,pick-up,app,6/22/2020 10:37,selesai,6/26/2020 15:07,0
3797377,155809,220389,retailer,pick-up,app,6/22/2020 10:38,selesai,6/23/2020 19:58,0
3493645,138013,116290,retailer,pick-up,app,6/2/2020 14:58,selesai,6/27/2020 15:02,0
3493711,151384,103578,retailer,same-day,app,6/2/2020 15:02,selesai,6/5/2020 15:25,0
3493720,53834,1103875,retailer,pick-up,otc,6/2/2020 15:02,selesai,6/2/2020 15:02,0
5182071,57640,173137,retailer,next-day,app,8/25/2020 18:52,selesai,8/28/2020 17:53,0
5265533,261265,717495,retailer,pick-up,app,8/29/2020 12:47,selesai,9/5/2020 11:53,0
5265601,135822,1180084,retailer,pick-up,app,8/29/2020 12:49,selesai,8/30/2020 12:54,0
5282913,133124,110804,retailer,pick-up,app,8/30/2020 14:31,selesai,9/4/2020 17:29,0
5283279,154557,208015,retailer,pick-up,otc,8/30/2020 14:58,selesai,8/30/2020 14:58,0
5331320,168858,204839,retailer,pick-up,app,9/1/2020 15:51,selesai,9/1/2020 22:42,0
5331322,56525,1086183,retailer,pick-up,app,9/1/2020 15:51,selesai,9/2/2020 12:55,0
5331356,194546,1277294,retailer,pick-up,app,9/1/2020 15:52,siap-diambil,9/1/2020 17:35,0
5265224,53905,10772,retailer,same-day,app,8/29/2020 12:33,selesai,8/30/2020 19:42,0
5265281,54616,26251,retailer,pick-up,app,8/29/2020 12:36,siap-diambil,9/5/2020 9:23,0
5336620,151532,230187,retailer,pick-up,otc,9/1/2020 21:58,selesai,9/1/2020 21:58,0
5336679,58205,8635,retailer,next-day,app,9/1/2020 22:03,selesai,9/3/2020 9:31,0
5336711,134684,101817,retailer,pick-up,app,9/1/2020 22:07,selesai,9/12/2020 8:39,0
5336720,145608,171551,retailer,pick-up,app,9/1/2020 22:08,selesai,9/16/2020 8:15,0
5404929,187676,652827,retailer,pick-up,app,9/4/2020 17:07,selesai,9/4/2020 18:23,0
5405004,132745,104318,retailer,pick-up,app,9/4/2020 17:12,selesai,9/7/2020 8:37,0
5405006,139446,43939,retailer,pick-up,app,9/4/2020 17:12,selesai,9/7/2020 6:46,0
5427793,137151,83862,retailer,pick-up,app,9/5/2020 19:53,selesai,9/9/2020 16:30,0
5404672,56636,13795,retailer,next-day,app,9/4/2020 16:54,selesai,9/7/2020 17:47,0
5404695,135619,116299,retailer,pick-up,app,9/4/2020 16:56,selesai,9/5/2020 12:24,0
5404763,136334,1270821,retailer,pick-up,otc,9/4/2020 17:00,selesai,9/4/2020 17:00,0
5410790,187676,1171405,retailer,pick-up,app,9/5/2020 7:12,selesai,9/7/2020 16:46,0
5410815,137184,176325,retailer,pick-up,app,9/5/2020 7:13,selesai,9/6/2020 8:56,0
5185804,151392,71743,retailer,pick-up,app,8/26/2020 6:30,selesai,8/26/2020 10:50,0
5185831,58981,229269,retailer,pick-up,app,8/26/2020 6:31,selesai,8/28/2020 16:26,0
5185840,53845,36306,retailer,pick-up,app,8/26/2020 6:33,selesai,8/26/2020 10:03,0
5185897,57662,20793,retailer,pick-up,app,8/26/2020 6:36,siap-diambil,9/2/2020 7:54,0
5283374,156024,1241028,retailer,pick-up,app,8/30/2020 15:05,siap-diambil,8/31/2020 6:13,0
3768654,132801,187297,retailer,pick-up,otc,6/20/2020 11:22,selesai,6/20/2020 11:22,0
3768722,1130,215272,retailer,same-day,app,6/20/2020 11:25,selesai,6/24/2020 15:18,0
3700266,142377,124968,retailer,pick-up,app,6/16/2020 13:56,selesai,6/22/2020 10:46,0
3700368,54055,1115077,retailer,pick-up,app,6/16/2020 14:01,selesai,6/17/2020 8:02,0
3700693,53834,1118428,retailer,pick-up,otc,6/16/2020 14:15,selesai,6/16/2020 14:15,0
3768854,140151,176509,retailer,pick-up,otc,6/20/2020 11:31,selesai,6/20/2020 11:31,0
3768879,56561,1049488,retailer,pick-up,app,6/20/2020 11:32,siap-diambil,6/28/2020 21:18,0
3768881,137934,107587,retailer,pick-up,app,6/20/2020 11:32,selesai,6/21/2020 14:25,0
3768981,233295,104625,retailer,pick-up,app,6/20/2020 11:37,selesai,6/20/2020 19:07,0
3800935,1147,1031,retailer,pick-up,app,6/22/2020 12:45,selesai,6/23/2020 20:32,0
3801035,169334,72765,retailer,same-day,app,6/22/2020 12:50,selesai,6/26/2020 9:49,0
3801076,139119,103015,retailer,pick-up,app,6/22/2020 12:52,selesai,6/22/2020 14:06,0
3689572,53807,40454,retailer,same-day,app,6/16/2020 5:45,selesai,6/18/2020 10:33,0
3481759,56156,23326,retailer,pick-up,app,6/1/2020 16:09,selesai,6/4/2020 3:34,0
3481761,56210,35868,retailer,same-day,app,6/1/2020 16:09,selesai,6/5/2020 16:13,0
3572845,142655,116269,retailer,pick-up,otc,6/8/2020 11:24,selesai,6/8/2020 11:24,0
3572875,134388,83744,retailer,pick-up,app,6/8/2020 11:25,siap-diambil,6/8/2020 13:35,0
3572909,135564,205958,retailer,pick-up,otc,6/8/2020 11:26,selesai,6/8/2020 11:26,0
3572918,141997,103291,retailer,pick-up,app,6/8/2020 11:26,selesai,6/11/2020 22:19,0
3797293,54207,35253,retailer,pick-up,app,6/22/2020 10:35,selesai,6/24/2020 16:55,0
3797325,132943,210231,retailer,pick-up,app,6/22/2020 10:36,selesai,6/22/2020 16:31,0
3797393,55001,51502,retailer,same-day,app,6/22/2020 10:38,selesai,6/23/2020 5:34,0
3797402,57966,43038,retailer,same-day,app,6/22/2020 10:39,pesanan-diterima,6/22/2020 16:30,0
3493568,54454,27649,retailer,pick-up,app,6/2/2020 14:54,selesai,6/4/2020 8:48,0
3493602,148246,232575,retailer,pick-up,otc,6/2/2020 14:55,selesai,6/2/2020 14:55,0
3493668,135781,147076,retailer,pick-up,otc,6/2/2020 14:59,selesai,6/2/2020 14:59,0
3493702,54334,137772,retailer,pick-up,app,6/2/2020 15:01,selesai,6/3/2020 20:30,0
3493768,130615,78396,retailer,pick-up,app,6/2/2020 15:05,selesai,6/4/2020 16:52,0
3493770,185687,23632,retailer,pick-up,app,6/2/2020 15:05,selesai,6/3/2020 10:08,0
3493795,194753,196483,retailer,pick-up,otc,6/2/2020 15:06,selesai,6/2/2020 15:06,0
5181955,152262,79106,retailer,pick-up,app,8/25/2020 18:44,selesai,8/28/2020 12:48,0
5181994,130078,76426,retailer,pick-up,app,8/25/2020 18:46,selesai,8/25/2020 19:21,0
5182028,143964,170467,retailer,pick-up,otc,8/25/2020 18:48,selesai,9/1/2020 14:47,0
5265624,145114,145190,retailer,pick-up,otc,8/29/2020 12:50,selesai,8/29/2020 12:50,0
5331263,55696,51730,retailer,next-day,app,9/1/2020 15:48,selesai,9/3/2020 8:51,0
5331436,139702,124400,retailer,same-day,app,9/1/2020 15:55,selesai,9/1/2020 16:44,0
5265344,53631,131193,retailer,next-day,app,8/29/2020 12:39,selesai,8/30/2020 22:03,0
5265359,59398,27816,retailer,same-day,app,8/29/2020 12:40,selesai,8/31/2020 13:55,0
5265429,165124,268210,retailer,same-day,app,8/29/2020 12:43,selesai,9/1/2020 8:00,0
5265510,53835,5877,retailer,pick-up,app,8/29/2020 12:46,selesai,8/31/2020 16:26,0
5265512,132935,103054,retailer,pick-up,app,8/29/2020 12:46,selesai,8/29/2020 17:35,0
5269739,148405,105241,retailer,pick-up,app,8/29/2020 15:34,siap-diambil,9/13/2020 10:13,0
5269758,54022,240880,retailer,pick-up,otc,8/29/2020 15:35,selesai,8/29/2020 15:35,0
5269775,139586,127124,retailer,pick-up,app,8/29/2020 15:36,selesai,8/30/2020 16:09,0
5282792,133124,212487,retailer,pick-up,app,8/30/2020 14:20,siap-diambil,8/30/2020 15:17,0
5282858,91340,19262,retailer,same-day,app,8/30/2020 14:26,selesai,9/4/2020 6:54,0
5282877,224763,226266,retailer,pick-up,app,8/30/2020 14:28,siap-diambil,8/31/2020 17:35,0
5269373,54288,38791,retailer,pick-up,app,8/29/2020 15:17,selesai,9/2/2020 17:58,0
5269490,264460,1188413,retailer,pick-up,app,8/29/2020 15:22,selesai,8/29/2020 15:28,0
5269939,57420,49126,retailer,same-day,app,8/29/2020 15:44,selesai,9/4/2020 8:00,0
5269973,140260,143462,retailer,pick-up,otc,8/29/2020 15:46,selesai,8/29/2020 15:46,0
5270009,54265,1115380,retailer,same-day,app,8/29/2020 15:48,selesai,8/30/2020 22:46,0
5270039,137063,237974,retailer,pick-up,app,8/29/2020 15:50,selesai,8/30/2020 18:43,0
5270041,135561,128672,retailer,same-day,app,8/29/2020 15:50,selesai,8/30/2020 18:35,0
5336840,101429,75086,retailer,pick-up,app,9/1/2020 22:20,selesai,9/3/2020 17:38,0
5336923,166626,1224130,retailer,pick-up,otc,9/1/2020 22:30,selesai,9/1/2020 22:30,0
5337106,54011,23836,retailer,same-day,app,9/1/2020 22:59,selesai,9/4/2020 20:38,0
5287470,53859,6970,retailer,pick-up,app,8/30/2020 21:19,selesai,9/1/2020 8:58,0
5287570,268857,1198184,retailer,pick-up,otc,8/30/2020 21:32,selesai,8/30/2020 21:32,0
5417496,139090,124003,retailer,pick-up,app,9/5/2020 10:50,selesai,9/6/2020 10:18,0
5386695,136248,159549,retailer,pick-up,app,9/4/2020 5:53,selesai,9/6/2020 9:39,0
5386842,58524,14973,retailer,pick-up,app,9/4/2020 6:09,selesai,9/6/2020 14:46,0
5386859,55014,51035,retailer,same-day,app,9/4/2020 6:11,selesai,9/11/2020 7:14,0
5386878,135279,81070,retailer,pick-up,app,9/4/2020 6:12,selesai,9/8/2020 8:57,0
5428958,170118,1133433,retailer,pick-up,app,9/5/2020 22:05,selesai,9/12/2020 12:13,0
5185560,130747,1097894,retailer,pick-up,app,8/26/2020 6:10,selesai,8/26/2020 12:16,0
5185594,141815,180544,retailer,pick-up,app,8/26/2020 6:13,selesai,9/6/2020 11:42,0
5192510,235793,1132818,retailer,pick-up,app,8/26/2020 10:17,siap-diambil,8/27/2020 22:30,0
5192512,56853,476195,retailer,pick-up,app,8/26/2020 10:17,selesai,8/26/2020 13:32,0
5192529,1110850,1253300,retailer,pick-up,app,8/26/2020 10:17,siap-diambil,8/28/2020 9:07,0
5186260,233837,234258,retailer,pick-up,app,8/26/2020 6:59,selesai,8/27/2020 5:30,0
5186296,156626,265299,retailer,same-day,app,8/26/2020 7:01,selesai,8/27/2020 5:11,0
3689160,248606,251183,retailer,pick-up,app,6/15/2020 23:53,selesai,6/17/2020 23:16,0
3689192,139702,121079,retailer,same-day,app,6/16/2020 0:07,selesai,6/17/2020 18:09,0
3689207,141497,85357,retailer,pick-up,app,6/16/2020 0:19,selesai,6/17/2020 16:57,0
3689258,100667,17691,retailer,pick-up,app,6/16/2020 1:03,selesai,6/16/2020 8:58,0
3689290,56945,41673,retailer,pick-up,app,6/16/2020 1:34,selesai,6/19/2020 10:33,0
3520247,53834,1106794,retailer,pick-up,otc,6/4/2020 13:26,selesai,6/4/2020 13:26,0
3480552,137141,124681,retailer,pick-up,app,6/1/2020 14:25,selesai,6/9/2020 19:43,0
3480588,158359,231607,retailer,pick-up,app,6/1/2020 14:29,diproses,6/1/2020 15:02,0
3799660,162846,2858,retailer,pick-up,app,6/22/2020 11:54,selesai,6/25/2020 17:54,0
3799679,163443,182140,retailer,same-day,app,6/22/2020 11:54,selesai,6/24/2020 12:19,0
3799694,89346,42803,retailer,pick-up,app,6/22/2020 11:55,selesai,6/25/2020 14:24,0
3799709,135297,123054,retailer,pick-up,app,6/22/2020 11:56,selesai,6/22/2020 13:44,0
3572353,142771,54103,retailer,next-day,app,6/8/2020 11:02,selesai,6/10/2020 10:23,0
3572355,158236,82633,retailer,next-day,app,6/8/2020 11:02,selesai,6/10/2020 20:58,0
3793778,150615,117934,retailer,pick-up,app,6/22/2020 8:49,selesai,6/22/2020 10:19,0
5181982,91878,31219,retailer,pick-up,app,8/25/2020 18:46,selesai,8/27/2020 6:29,0
5182033,137142,144062,retailer,pick-up,app,8/25/2020 18:49,selesai,8/27/2020 11:16,0
5241731,151268,92997,retailer,pick-up,app,8/28/2020 11:46,selesai,8/28/2020 12:10,0
5265527,154376,234149,retailer,pick-up,app,8/29/2020 12:47,selesai,8/31/2020 4:00,0
5265661,53845,68664,retailer,same-day,app,8/29/2020 12:52,selesai,8/29/2020 14:19,0
