,id,wholesaler_id,retailer_id,buyer_type,shipping_type,order_type,book_time,last_status,last_status_time,trx_time,trx_date,line_count,line_hms,value,value_hms,qty,qty_hms,value_hms_pred,diff,anomaly_label_pred
12,3743274,101429,508537.0,retailer,pick-up,app,6/19/2020 1:17,selesai,6/20/2020 17:43,2020-06-19 01:17:00,20200619,4,1,1600300,64800,114,4,246800.06,2.8086429398148147,0.0
13,3743306,137913,121827.0,retailer,pick-up,app,6/19/2020 2:07,selesai,6/20/2020 12:25,2020-06-19 02:07:00,20200619,10,6,1253100,1016000,36,19,0.0,0.0,0.0
14,3743323,170118,234221.0,retailer,pick-up,app,6/19/2020 2:43,selesai,6/19/2020 2:51,2020-06-19 02:43:00,20200619,9,5,915200,563300,46,27,0.0,0.0,0.0
15,3743340,132104,106453.0,retailer,pick-up,app,6/19/2020 3:30,selesai,6/20/2020 10:40,2020-06-19 03:30:00,20200619,4,3,248650,208650,23,13,0.0,0.0,0.0
16,3743357,169010,212745.0,retailer,pick-up,app,6/19/2020 4:17,selesai,6/20/2020 20:37,2020-06-19 04:17:00,20200619,6,0,375960,0,8,0,0.0,0.0,0.0
17,3688739,53829,35890.0,retailer,same-day,app,6/15/2020 22:08,selesai,6/17/2020 9:20,2020-06-15 22:08:00,20200615,7,1,283825,38500,14,2,178585.38,3.638581168831169,1.0
18,3688756,151532,228917.0,retailer,pick-up,otc,6/15/2020 22:11,selesai,6/15/2020 22:11,2020-06-15 22:11:00,20200615,7,2,841650,138250,90,10,0.0,0.0,0.0
19,3688773,149436,75018.0,retailer,pick-up,app,6/15/2020 22:14,selesai,6/18/2020 16:26,2020-06-15 22:14:00,20200615,48,3,2056900,500000,535,30,0.0,0.0,0.0
20,3688805,56127,47724.0,retailer,pick-up,app,6/15/2020 22:21,siap-diambil,6/16/2020 17:08,2020-06-15 22:21:00,20200615,10,1,159009,66300,28,3,188299.25,1.8401093514328808,0.0
21,3688822,136276,127040.0,retailer,pick-up,app,6/15/2020 22:25,selesai,6/15/2020 22:40,2020-06-15 22:25:00,20200615,9,5,1705000,992000,798,48,0.0,0.0,0.0
22,3688839,155371,226964.0,retailer,pick-up,otc,6/15/2020 22:28,selesai,6/15/2020 22:28,2020-06-15 22:28:00,20200615,7,7,5071000,5071000,250,250,0.0,0.0,0.0
23,3688856,54586,20625.0,retailer,same-day,app,6/15/2020 22:32,selesai,6/19/2020 7:03,2020-06-15 22:32:00,20200615,10,4,1324000,591000,97,35,0.0,0.0,0.0
24,3657655,135619,240042.0,retailer,pick-up,app,6/13/2020 16:51,selesai,6/14/2020 6:43,2020-06-13 16:51:00,20200613,6,1,313350,79250,27,5,245604.31,2.099108044164038,0.0
25,3657657,54022,240437.0,retailer,pick-up,otc,6/13/2020 16:52,selesai,6/13/2020 16:52,2020-06-13 16:52:00,20200613,9,6,262040,111340,9,6,0.0,0.0,0.0
26,3657672,141815,186586.0,retailer,pick-up,app,6/13/2020 16:52,selesai,6/14/2020 11:36,2020-06-13 16:52:00,20200613,3,3,46800,46800,3,3,0.0,0.0,0.0
27,3657687,234791,0.0,guest,pick-up,otc,6/13/2020 16:53,selesai,6/13/2020 16:53,2020-06-13 16:53:00,20200613,12,4,1366500,619000,99,40,0.0,0.0,0.0
28,3657689,137919,145202.0,retailer,same-day,app,6/13/2020 16:53,selesai,6/17/2020 9:11,2020-06-13 16:53:00,20200613,12,1,1782550,439800,228,20,381768.38,0.131950034106412,0.0
29,3657723,155450,95688.0,retailer,pick-up,otc,6/13/2020 16:55,selesai,6/13/2020 16:55,2020-06-13 16:55:00,20200613,14,5,3022500,1356500,170,60,0.0,0.0,0.0
30,3657738,136200,111719.0,retailer,pick-up,app,6/13/2020 16:56,selesai,6/15/2020 9:51,2020-06-13 16:56:00,20200613,10,9,1750200,1518200,14,13,0.0,0.0,0.0
31,3657755,140686,73546.0,retailer,pick-up,app,6/13/2020 16:57,selesai,6/14/2020 0:47,2020-06-13 16:57:00,20200613,12,6,3073250,1629250,151,66,0.0,0.0,0.0
32,3657789,56945,34700.0,retailer,pick-up,app,6/13/2020 16:59,selesai,6/24/2020 11:10,2020-06-13 16:59:00,20200613,4,0,838700,0,34,0,0.0,0.0,0.0
33,3554254,131423,81702.0,retailer,pick-up,app,6/6/2020 17:38,selesai,7/10/2020 0:19,2020-06-06 17:38:00,20200606,9,4,1340550,416700,93,17,0.0,0.0,0.0
34,3554271,159081,224561.0,retailer,pick-up,app,6/6/2020 17:41,selesai,6/7/2020 7:41,2020-06-06 17:41:00,20200606,13,0,1006000,0,182,0,0.0,0.0,0.0
35,3554337,154557,223751.0,retailer,pick-up,otc,6/6/2020 17:51,selesai,6/6/2020 17:51,2020-06-06 17:51:00,20200606,15,9,3267400,1562100,222,70,0.0,0.0,0.0
36,3554354,137079,261813.0,retailer,pick-up,app,6/6/2020 17:53,selesai,6/20/2020 17:30,2020-06-06 17:53:00,20200606,5,1,356950,48750,12,3,222855.81,3.571401282051282,1.0
37,3528335,55952,259349.0,retailer,pick-up,app,6/5/2020 7:58,selesai,6/9/2020 20:43,2020-06-05 07:58:00,20200605,6,6,329447,329447,19,19,0.0,0.0,0.0
38,3528367,54441,144093.0,retailer,same-day,app,6/5/2020 8:00,selesai,6/8/2020 14:51,2020-06-05 08:00:00,20200605,11,0,215800,0,24,0,0.0,0.0,0.0
39,3528384,149437,71633.0,retailer,pick-up,app,6/5/2020 8:01,selesai,6/8/2020 9:16,2020-06-05 08:01:00,20200605,9,5,823800,380800,48,23,0.0,0.0,0.0
40,3528386,53841,5477.0,retailer,pick-up,app,6/5/2020 8:01,selesai,6/9/2020 15:26,2020-06-05 08:01:00,20200605,5,0,452800,0,33,0,0.0,0.0,0.0
41,3528401,58490,27593.0,retailer,pick-up,app,6/5/2020 8:02,siap-diambil,6/6/2020 14:40,2020-06-05 08:02:00,20200605,51,7,3083850,1221000,294,65,0.0,0.0,0.0
42,3528418,101429,130237.0,retailer,same-day,app,6/5/2020 8:03,selesai,6/7/2020 10:06,2020-06-05 08:03:00,20200605,53,1,5557500,157500,491,10,255599.69,0.6228551587301587,0.0
43,3528450,135619,172503.0,retailer,pick-up,app,6/5/2020 8:05,selesai,6/5/2020 8:20,2020-06-05 08:05:00,20200605,17,1,512650,43350,69,1,171132.0,2.947681660899654,0.0
44,3528467,229599,125358.0,retailer,pick-up,app,6/5/2020 8:06,selesai,6/5/2020 15:12,2020-06-05 08:06:00,20200605,9,6,1065500,813500,55,40,0.0,0.0,0.0
45,3528469,151258,98239.0,retailer,pick-up,app,6/5/2020 8:06,selesai,6/5/2020 17:16,2020-06-05 08:06:00,20200605,11,5,1675450,563450,17,10,0.0,0.0,0.0
46,3499857,54995,43108.0,retailer,same-day,app,6/3/2020 8:16,selesai,6/12/2020 12:38,2020-06-03 08:16:00,20200603,23,0,1554900,0,99,0,0.0,0.0,0.0
47,3499874,54051,136444.0,retailer,pick-up,app,6/3/2020 8:17,selesai,6/3/2020 15:02,2020-06-03 08:17:00,20200603,19,0,1052100,0,127,0,0.0,0.0,0.0
48,3499908,54815,14361.0,retailer,same-day,app,6/3/2020 8:19,selesai,6/4/2020 14:31,2020-06-03 08:19:00,20200603,11,9,2393250,2131500,145,110,0.0,0.0,0.0
49,3499940,56113,228071.0,retailer,same-day,app,6/3/2020 8:20,selesai,6/3/2020 22:08,2020-06-03 08:20:00,20200603,10,0,1215500,0,110,0,0.0,0.0,0.0
50,3499957,194753,197343.0,retailer,pick-up,otc,6/3/2020 8:21,selesai,6/3/2020 8:21,2020-06-03 08:21:00,20200603,5,1,335000,184500,5,1,257479.31,0.3955518292682927,0.0
51,3499974,170249,76719.0,retailer,pick-up,app,6/3/2020 8:22,selesai,6/6/2020 10:37,2020-06-03 08:22:00,20200603,3,1,477000,214500,3,1,221057.88,0.030572843822843823,0.0
52,3499991,197776,124134.0,retailer,pick-up,app,6/3/2020 8:22,selesai,6/6/2020 10:44,2020-06-03 08:22:00,20200603,12,7,1144300,837900,65,47,0.0,0.0,0.0
53,3790153,137142,97668.0,retailer,pick-up,app,6/22/2020 5:45,selesai,7/14/2020 9:06,2020-06-22 05:45:00,20200622,4,3,519500,415000,12,7,0.0,0.0,0.0
54,3790170,56157,18806.0,retailer,pick-up,app,6/22/2020 5:49,selesai,6/23/2020 7:22,2020-06-22 05:49:00,20200622,15,7,751450,568200,58,30,0.0,0.0,0.0
55,3606734,234791,0.0,guest,pick-up,otc,6/10/2020 13:07,selesai,6/10/2020 13:07,2020-06-10 13:07:00,20200610,7,1,541850,80850,23,3,216767.81,1.681110853432282,0.0
56,3606749,57669,0.0,guest,pick-up,otc,6/10/2020 13:07,selesai,6/10/2020 13:07,2020-06-10 13:07:00,20200610,6,2,270850,212900,53,12,0.0,0.0,0.0
57,3585200,55696,44358.0,retailer,same-day,app,6/9/2020 8:46,selesai,6/12/2020 10:52,2020-06-09 08:46:00,20200609,9,0,503500,0,28,0,0.0,0.0,0.0
58,3585214,57966,227619.0,retailer,pick-up,app,6/9/2020 8:47,siap-diambil,6/9/2020 11:06,2020-06-09 08:47:00,20200609,22,4,2046600,563200,310,32,0.0,0.0,0.0
59,3585232,60107,32773.0,retailer,pick-up,app,6/9/2020 8:48,selesai,6/9/2020 11:12,2020-06-09 08:48:00,20200609,2,1,148600,114500,3,1,181365.81,0.5839808951965065,0.0
60,3585249,140320,212420.0,retailer,pick-up,app,6/9/2020 8:48,selesai,6/9/2020 9:02,2020-06-09 08:48:00,20200609,7,3,5115000,4024000,360,260,0.0,0.0,0.0
61,3585263,154557,156022.0,retailer,pick-up,otc,6/9/2020 8:49,selesai,6/9/2020 8:49,2020-06-09 08:49:00,20200609,5,1,713000,161000,41,10,276723.25,0.718777950310559,0.0
62,3585300,154557,211321.0,retailer,pick-up,otc,6/9/2020 8:50,selesai,6/9/2020 8:50,2020-06-09 08:50:00,20200609,4,0,1499100,0,100,0,0.0,0.0,0.0
63,3585332,230531,240016.0,retailer,pick-up,app,6/9/2020 8:51,selesai,6/12/2020 11:45,2020-06-09 08:51:00,20200609,11,2,1654000,381000,66,11,0.0,0.0,0.0
64,3585349,247662,666028.0,retailer,pick-up,app,6/9/2020 8:52,selesai,6/11/2020 17:30,2020-06-09 08:52:00,20200609,11,0,538500,0,57,0,0.0,0.0,0.0
65,3743246,139119,235970.0,retailer,pick-up,app,6/19/2020 0:44,selesai,6/19/2020 13:42,2020-06-19 00:44:00,20200619,12,2,732700,163100,56,8,0.0,0.0,0.0
66,3743263,252844,1101495.0,retailer,pick-up,otc,6/19/2020 1:00,selesai,6/19/2020 1:00,2020-06-19 01:00:00,20200619,27,6,4042000,1191000,553,33,0.0,0.0,0.0
67,3743300,135291,106281.0,retailer,same-day,app,6/19/2020 2:00,selesai,6/24/2020 18:59,2020-06-19 02:00:00,20200619,7,7,1330000,1330000,69,69,0.0,0.0,0.0
68,3743349,146895,14853.0,retailer,same-day,app,6/19/2020 4:09,selesai,6/19/2020 12:14,2020-06-19 04:09:00,20200619,5,0,606000,0,91,0,0.0,0.0,0.0
69,3743363,156024,74484.0,retailer,pick-up,app,6/19/2020 4:26,siap-diambil,6/30/2020 10:28,2020-06-19 04:26:00,20200619,10,2,523500,127500,36,6,0.0,0.0,0.0
70,3688816,54584,206351.0,retailer,pick-up,otc,6/15/2020 22:23,selesai,6/15/2020 22:23,2020-06-15 22:23:00,20200615,15,6,11684000,1778000,886,74,0.0,0.0,0.0
71,3688833,233752,138128.0,retailer,pick-up,otc,6/15/2020 22:27,selesai,6/15/2020 22:27,2020-06-15 22:27:00,20200615,5,4,859600,767200,15,9,0.0,0.0,0.0
72,3688865,132745,114525.0,retailer,pick-up,app,6/15/2020 22:33,selesai,6/17/2020 9:51,2020-06-15 22:33:00,20200615,4,3,839500,728500,9,4,0.0,0.0,0.0
73,3657632,54022,237789.0,retailer,pick-up,otc,6/13/2020 16:50,selesai,6/13/2020 16:50,2020-06-13 16:50:00,20200613,9,6,902965,113965,9,6,0.0,0.0,0.0
74,3657645,178815,0.0,guest,pick-up,otc,6/13/2020 16:51,selesai,6/13/2020 16:51,2020-06-13 16:51:00,20200613,3,1,3139000,1595000,180,100,1774788.8,0.11272021943573668,0.0
75,3657646,58227,16340.0,retailer,pick-up,app,6/13/2020 16:51,selesai,6/20/2020 9:06,2020-06-13 16:51:00,20200613,2,0,350200,0,54,0,0.0,0.0,0.0
76,3657663,170118,175137.0,retailer,pick-up,app,6/13/2020 16:52,selesai,6/14/2020 9:45,2020-06-13 16:52:00,20200613,8,1,502000,89000,67,2,215196.19,1.417934691011236,0.0
77,3657678,54022,1109738.0,retailer,pick-up,otc,6/13/2020 16:53,selesai,6/13/2020 16:53,2020-06-13 16:53:00,20200613,7,6,126500,117500,16,6,0.0,0.0,0.0
78,3657695,138989,92885.0,retailer,pick-up,app,6/13/2020 16:53,selesai,6/23/2020 16:46,2020-06-13 16:53:00,20200613,5,0,935000,0,103,0,0.0,0.0,0.0
79,3657732,53834,1116091.0,retailer,pick-up,otc,6/13/2020 16:55,selesai,6/13/2020 16:55,2020-06-13 16:55:00,20200613,4,4,571150,571150,4,4,0.0,0.0,0.0
80,3657746,54022,237622.0,retailer,pick-up,otc,6/13/2020 16:56,selesai,6/13/2020 16:56,2020-06-13 16:56:00,20200613,10,6,579465,113965,10,6,0.0,0.0,0.0
81,3657763,147705,78617.0,retailer,pick-up,app,6/13/2020 16:57,selesai,6/14/2020 11:07,2020-06-13 16:57:00,20200613,1,0,111000,0,1,0,0.0,0.0,0.0
82,3657781,54022,5651.0,retailer,pick-up,otc,6/13/2020 16:58,selesai,7/14/2020 10:30,2020-06-13 16:58:00,20200613,2,2,353500,353500,20,20,0.0,0.0,0.0
83,3657795,152205,112479.0,retailer,pick-up,app,6/13/2020 17:00,selesai,6/14/2020 13:53,2020-06-13 17:00:00,20200613,15,4,1612500,1044500,157,51,0.0,0.0,0.0
84,3554248,155809,171010.0,retailer,pick-up,app,6/6/2020 17:38,selesai,6/14/2020 18:40,2020-06-06 17:38:00,20200606,24,8,1691410,706870,115,34,0.0,0.0,0.0
85,3554298,162177,85622.0,retailer,pick-up,app,6/6/2020 17:45,selesai,6/8/2020 13:05,2020-06-06 17:45:00,20200606,4,4,527500,527500,24,24,0.0,0.0,0.0
86,3554312,137089,213916.0,retailer,pick-up,app,6/6/2020 17:48,siap-diambil,6/6/2020 17:52,2020-06-06 17:48:00,20200606,7,3,1736000,865000,17,4,0.0,0.0,0.0
87,3554315,89346,251443.0,retailer,same-day,app,6/6/2020 17:48,selesai,6/16/2020 9:27,2020-06-06 17:48:00,20200606,30,3,1109600,435000,466,22,0.0,0.0,0.0
88,3554329,236594,1102429.0,retailer,pick-up,otc,6/6/2020 17:49,selesai,6/6/2020 17:49,2020-06-06 17:49:00,20200606,13,1,396602,55600,300,2,169884.88,2.0554833633093526,0.0
89,3554397,61608,39944.0,retailer,pick-up,app,6/6/2020 17:56,selesai,6/8/2020 11:02,2020-06-06 17:56:00,20200606,4,1,638000,114500,35,10,263497.62,1.3012893013100437,0.0
90,3554398,231727,257144.0,retailer,same-day,app,6/6/2020 17:56,pesanan-diterima,8/25/2020 15:00,2020-06-06 17:56:00,20200606,3,3,35000,35000,3,3,0.0,0.0,0.0
91,3528343,144940,175672.0,retailer,pick-up,app,6/5/2020 7:58,selesai,6/6/2020 16:24,2020-06-05 07:58:00,20200605,36,1,1080750,114000,120,10,262629.56,1.3037680921052632,0.0
92,3528344,153631,96034.0,retailer,same-day,app,6/5/2020 7:58,selesai,6/5/2020 9:54,2020-06-05 07:58:00,20200605,12,1,754250,138250,53,5,243319.0,0.7599927667269439,0.0
93,3528358,138071,247058.0,retailer,same-day,app,6/5/2020 7:59,selesai,6/6/2020 12:12,2020-06-05 07:59:00,20200605,7,4,1200500,853500,50,32,0.0,0.0,0.0
94,3528361,140348,125504.0,retailer,same-day,app,6/5/2020 7:59,selesai,6/6/2020 14:31,2020-06-05 07:59:00,20200605,7,1,1020500,220500,11,1,188344.31,0.14583078231292518,0.0
95,3528375,143485,110903.0,retailer,pick-up,app,6/5/2020 8:00,selesai,6/13/2020 15:06,2020-06-05 08:00:00,20200605,5,5,1321500,1321500,47,47,0.0,0.0,0.0
96,3528426,160659,125869.0,retailer,pick-up,app,6/5/2020 8:03,selesai,6/5/2020 16:54,2020-06-05 08:03:00,20200605,19,2,811000,126700,85,7,0.0,0.0,0.0
97,3528443,139549,167072.0,retailer,pick-up,app,6/5/2020 8:05,selesai,6/5/2020 11:10,2020-06-05 08:05:00,20200605,9,1,1815000,227500,207,20,374049.2,0.6441722527472528,0.0
98,3528444,58238,6524.0,retailer,same-day,app,6/5/2020 8:05,selesai,6/5/2020 20:48,2020-06-05 08:05:00,20200605,38,9,1342150,532200,211,28,0.0,0.0,0.0
99,3528458,164729,71320.0,retailer,pick-up,app,6/5/2020 8:05,selesai,6/5/2020 19:02,2020-06-05 08:05:00,20200605,9,3,692900,132300,35,7,0.0,0.0,0.0
100,3528461,53834,1103371.0,retailer,pick-up,otc,6/5/2020 8:06,selesai,6/5/2020 8:06,2020-06-05 08:06:00,20200605,4,2,1213250,379250,27,2,0.0,0.0,0.0
101,3499813,53829,24222.0,retailer,same-day,app,6/3/2020 8:13,selesai,6/7/2020 9:12,2020-06-03 08:13:00,20200603,18,1,1595500,220000,12,1,173600.69,0.21090596590909091,0.0
102,3499814,177146,112985.0,retailer,pick-up,app,6/3/2020 8:13,selesai,6/4/2020 8:44,2020-06-03 08:13:00,20200603,6,5,536100,403100,33,23,0.0,0.0,0.0
103,3499831,177584,29287.0,retailer,pick-up,app,6/3/2020 8:14,selesai,6/4/2020 16:27,2020-06-03 08:14:00,20200603,13,5,4003500,2256500,260,120,0.0,0.0,0.0
104,3499896,132943,144642.0,retailer,pick-up,app,6/3/2020 8:18,selesai,6/3/2020 23:26,2020-06-03 08:18:00,20200603,37,2,1172300,156200,91,9,0.0,0.0,0.0
105,3499913,54027,22056.0,retailer,same-day,app,6/3/2020 8:19,selesai,6/7/2020 13:16,2020-06-03 08:19:00,20200603,30,3,788300,370000,72,25,0.0,0.0,0.0
106,3499914,238758,110110.0,retailer,same-day,app,6/3/2020 8:19,selesai,6/3/2020 9:01,2020-06-03 08:19:00,20200603,1,0,4900000,0,350,0,0.0,0.0,0.0
107,3499931,57731,39730.0,retailer,pick-up,app,6/3/2020 8:20,selesai,6/3/2020 12:34,2020-06-03 08:20:00,20200603,21,7,4190000,1509000,223,90,0.0,0.0,0.0
108,3499996,172815,197358.0,retailer,pick-up,app,6/3/2020 8:23,pesanan-diterima,6/3/2020 8:57,2020-06-03 08:23:00,20200603,17,6,5416500,1982500,256,100,0.0,0.0,0.0
109,3790009,154557,134500.0,retailer,pick-up,otc,6/22/2020 5:03,selesai,6/22/2020 5:03,2020-06-22 05:03:00,20200622,3,1,38300,26900,3,1,196792.31,6.315699349442379,1.0
110,3790024,56574,130355.0,retailer,pick-up,app,6/22/2020 5:10,siap-diambil,6/22/2020 16:05,2020-06-22 05:10:00,20200622,44,1,1133100,44200,126,2,120410.69,1.7242236990950226,0.0
111,3790027,53841,5131.0,retailer,same-day,app,6/22/2020 5:12,selesai,6/23/2020 16:14,2020-06-22 05:12:00,20200622,38,0,2558100,0,607,0,0.0,0.0,0.0
112,3790092,138013,102007.0,retailer,same-day,app,6/22/2020 5:32,selesai,6/23/2020 13:45,2020-06-22 05:32:00,20200622,56,4,3806000,540500,307,30,0.0,0.0,0.0
113,3585197,230531,268854.0,retailer,pick-up,app,6/9/2020 8:46,selesai,6/10/2020 6:57,2020-06-09 08:46:00,20200609,6,2,754500,156800,73,44,0.0,0.0,0.0
114,3585215,140094,102208.0,retailer,same-day,app,6/9/2020 8:47,selesai,6/19/2020 10:16,2020-06-09 08:47:00,20200609,23,5,1434500,785000,169,44,0.0,0.0,0.0
115,3585266,55616,20086.0,retailer,same-day,app,6/9/2020 8:49,selesai,7/27/2020 19:13,2020-06-09 08:49:00,20200609,14,6,649850,331450,41,18,0.0,0.0,0.0
116,3585280,137074,262256.0,retailer,same-day,app,6/9/2020 8:49,selesai,6/10/2020 19:15,2020-06-09 08:49:00,20200609,7,5,640300,376500,30,17,0.0,0.0,0.0
117,3585283,60937,23823.0,retailer,pick-up,app,6/9/2020 8:50,pesanan-diterima,6/11/2020 15:32,2020-06-09 08:50:00,20200609,19,3,1999100,564500,221,30,0.0,0.0,0.0
118,3585297,132183,194665.0,retailer,same-day,app,6/9/2020 8:50,selesai,6/11/2020 7:04,2020-06-09 08:50:00,20200609,12,8,8621000,7079000,430,370,0.0,0.0,0.0
119,3585298,132745,110739.0,retailer,pick-up,app,6/9/2020 8:50,selesai,6/15/2020 19:03,2020-06-09 08:50:00,20200609,5,4,776000,709000,14,13,0.0,0.0,0.0
120,3585315,139675,144709.0,retailer,pick-up,app,6/9/2020 8:51,selesai,6/11/2020 7:59,2020-06-09 08:51:00,20200609,16,0,1048400,0,97,0,0.0,0.0,0.0
121,3743266,137934,122192.0,retailer,pick-up,app,6/19/2020 1:03,selesai,6/19/2020 15:22,2020-06-19 01:03:00,20200619,6,6,839500,839500,50,50,0.0,0.0,0.0
122,3743280,56578,259977.0,retailer,pick-up,app,6/19/2020 1:31,selesai,6/20/2020 8:53,2020-06-19 01:31:00,20200619,42,5,4217800,931000,321,50,0.0,0.0,0.0
123,3743283,164729,87667.0,retailer,pick-up,app,6/19/2020 1:39,selesai,6/20/2020 12:51,2020-06-19 01:39:00,20200619,5,0,106600,0,29,0,0.0,0.0,0.0
124,3743297,59050,22333.0,retailer,pick-up,app,6/19/2020 1:58,selesai,6/21/2020 16:35,2020-06-19 01:58:00,20200619,7,3,402750,159950,23,7,0.0,0.0,0.0
125,3743366,62674,35959.0,retailer,same-day,app,6/19/2020 4:28,konfirmasi-perubahan,6/19/2020 14:23,2020-06-19 04:28:00,20200619,6,1,7424000,2300000,552,200,0.0,0.0,0.0
126,3743380,54444,216218.0,retailer,same-day,app,6/19/2020 4:38,selesai,6/23/2020 1:38,2020-06-19 04:38:00,20200619,22,0,981700,0,100,0,0.0,0.0,0.0
127,3743383,140204,1113535.0,retailer,pick-up,app,6/19/2020 4:43,siap-diambil,6/19/2020 9:10,2020-06-19 04:43:00,20200619,24,6,3471950,676600,68,11,0.0,0.0,0.0
128,3688782,253712,102882.0,retailer,pick-up,app,6/15/2020 22:16,selesai,6/16/2020 17:07,2020-06-15 22:16:00,20200615,11,5,2537250,1037000,201,48,0.0,0.0,0.0
129,3688799,151532,1117917.0,retailer,pick-up,otc,6/15/2020 22:19,selesai,7/3/2020 20:45,2020-06-15 22:19:00,20200615,7,2,716500,215000,220,10,0.0,0.0,0.0
130,3688882,57415,163570.0,retailer,pick-up,app,6/15/2020 22:37,selesai,6/18/2020 13:11,2020-06-15 22:37:00,20200615,46,3,1514420,244950,144,15,0.0,0.0,0.0
131,3657629,53834,1116133.0,retailer,pick-up,otc,6/13/2020 16:50,selesai,6/13/2020 16:50,2020-06-13 16:50:00,20200613,2,2,285600,285600,5,5,0.0,0.0,0.0
132,3657680,135756,131278.0,retailer,pick-up,app,6/13/2020 16:53,selesai,6/14/2020 9:41,2020-06-13 16:53:00,20200613,1,0,88000,0,2,0,0.0,0.0,0.0
133,3657698,53834,1116147.0,retailer,pick-up,otc,6/13/2020 16:53,selesai,6/13/2020 16:53,2020-06-13 16:53:00,20200613,2,2,379250,379250,2,2,0.0,0.0,0.0
134,3657712,139102,103130.0,retailer,pick-up,app,6/13/2020 16:54,selesai,6/19/2020 15:27,2020-06-13 16:54:00,20200613,3,3,254500,254500,15,15,0.0,0.0,0.0
135,3657715,135291,103945.0,retailer,pick-up,app,6/13/2020 16:54,selesai,7/8/2020 16:39,2020-06-13 16:54:00,20200613,11,8,2918000,2301000,145,115,0.0,0.0,0.0
136,3657780,141465,125040.0,retailer,pick-up,app,6/13/2020 16:58,pesanan-dilihat,6/13/2020 17:24,2020-06-13 16:58:00,20200613,5,5,807000,807000,45,45,0.0,0.0,0.0
137,3657798,141828,145991.0,retailer,pick-up,otc,6/13/2020 17:00,selesai,6/13/2020 17:00,2020-06-13 17:00:00,20200613,9,3,1456000,538500,100,30,0.0,0.0,0.0
138,3554263,234701,235410.0,retailer,pick-up,app,6/6/2020 17:40,selesai,6/6/2020 17:49,2020-06-06 17:40:00,20200606,3,0,202500,0,29,0,0.0,0.0,0.0
139,3554278,54021,7655.0,retailer,pick-up,app,6/6/2020 17:42,pesanan-diterima,6/10/2020 21:15,2020-06-06 17:42:00,20200606,7,4,1437250,713250,70,30,0.0,0.0,0.0
140,3554295,54995,250151.0,retailer,same-day,app,6/6/2020 17:45,selesai,6/17/2020 15:21,2020-06-06 17:45:00,20200606,1,0,154000,0,24,0,0.0,0.0,0.0
141,3554314,53923,252137.0,retailer,pick-up,app,6/6/2020 17:48,selesai,6/6/2020 19:29,2020-06-06 17:48:00,20200606,4,1,343150,60900,19,3,87797.625,0.44166871921182266,0.0
142,3554331,133328,1098591.0,retailer,pick-up,app,6/6/2020 17:50,selesai,6/8/2020 16:15,2020-06-06 17:50:00,20200606,9,1,1253567,220500,10,1,148829.38,0.32503684807256233,0.0
